start_node,end_node,way_id,day,month,year,hour,agg,tracker_speed
248102146,132935330,23378734,10,4,2019,21,2.0,13.0
250133284,305775137,233822655,2,4,2019,0,0.0,21.0
250133284,305775137,233822655,2,4,2019,5,1.0,14.0
250133284,305775137,233822655,2,4,2019,6,1.0,12.0
250133284,305775137,233822655,2,4,2019,8,1.0,20.0
250133284,305775137,233822655,2,4,2019,9,1.0,19.0
250133284,305775137,233822655,2,4,2019,10,1.0,10.583333333333334
250133284,305775137,233822655,2,4,2019,11,1.0,11.25
250133284,305775137,233822655,2,4,2019,12,1.0,32.333333333333336
250133284,305775137,233822655,2,4,2019,13,1.0,13.6
250133284,305775137,233822655,2,4,2019,14,1.0,15.0
250133284,305775137,233822655,2,4,2019,16,2.0,18.5
250133284,305775137,233822655,2,4,2019,17,2.0,14.666666666666666
250133284,305775137,233822655,2,4,2019,18,2.0,18.0
250133284,305775137,233822655,2,4,2019,19,2.0,13.333333333333334
250133284,305775137,233822655,2,4,2019,20,2.0,9.0
250133284,305775137,233822655,2,4,2019,21,2.0,4.0
250133284,305775137,233822655,2,4,2019,23,2.0,10.0
250133284,305775137,233822655,3,4,2019,0,0.0,10.5
250133284,305775137,233822655,3,4,2019,1,1.0,14.666666666666666
250133284,305775137,233822655,3,4,2019,3,1.0,27.0
250133284,305775137,233822655,3,4,2019,4,1.0,17.333333333333332
250133284,305775137,233822655,3,4,2019,6,1.0,36.25
250133284,305775137,233822655,3,4,2019,7,1.0,13.5
250133284,305775137,233822655,3,4,2019,8,1.0,12.25
250133284,305775137,233822655,3,4,2019,9,1.0,14.0
250133284,305775137,233822655,3,4,2019,10,1.0,19.333333333333332
250133284,305775137,233822655,3,4,2019,11,1.0,19.333333333333332
250133284,305775137,233822655,3,4,2019,12,1.0,13.0
250133284,305775137,233822655,3,4,2019,14,1.0,13.0
250133284,305775137,233822655,3,4,2019,15,1.0,18.0
250133284,305775137,233822655,3,4,2019,16,2.0,19.0
250133284,305775137,233822655,3,4,2019,17,2.0,11.833333333333334
250133284,305775137,233822655,3,4,2019,18,2.0,15.0
250133284,305775137,233822655,3,4,2019,19,2.0,13.5
250133284,305775137,233822655,3,4,2019,20,2.0,0.0
250133284,305775137,233822655,3,4,2019,21,2.0,22.333333333333332
250133284,305775137,233822655,3,4,2019,22,2.0,17.0
250133284,305775137,233822655,3,4,2019,23,2.0,16.0
250133284,305775137,233822655,4,4,2019,0,0.0,14.0
250133284,305775137,233822655,4,4,2019,6,1.0,5.0
250133284,305775137,233822655,4,4,2019,8,1.0,17.0
250133284,305775137,233822655,4,4,2019,9,1.0,16.5
250133284,305775137,233822655,4,4,2019,10,1.0,17.5
250133284,305775137,233822655,4,4,2019,11,1.0,18.5
250133284,305775137,233822655,4,4,2019,12,1.0,19.25
250133284,305775137,233822655,4,4,2019,14,1.0,10.0
250133284,305775137,233822655,4,4,2019,15,1.0,7.6
250133284,305775137,233822655,4,4,2019,16,2.0,10.2
250133284,305775137,233822655,4,4,2019,17,2.0,15.4
250133284,305775137,233822655,4,4,2019,18,2.0,7.625
250133284,305775137,233822655,4,4,2019,19,2.0,20.333333333333332
250133284,305775137,233822655,4,4,2019,20,2.0,10.285714285714286
250133284,305775137,233822655,4,4,2019,21,2.0,13.25
250133284,305775137,233822655,4,4,2019,22,2.0,40.0
250133284,305775137,233822655,5,4,2019,0,0.0,12.75
250133284,305775137,233822655,5,4,2019,1,1.0,4.0
250133284,305775137,233822655,5,4,2019,4,1.0,19.666666666666668
250133284,305775137,233822655,5,4,2019,8,1.0,17.25
250133284,305775137,233822655,5,4,2019,9,1.0,14.8
250133284,305775137,233822655,5,4,2019,10,1.0,18.166666666666668
250133284,305775137,233822655,5,4,2019,11,1.0,15.666666666666666
250133284,305775137,233822655,5,4,2019,12,1.0,11.25
250133284,305775137,233822655,5,4,2019,13,1.0,13.2
250133284,305775137,233822655,5,4,2019,14,1.0,17.333333333333332
250133284,305775137,233822655,5,4,2019,15,1.0,9.6
250133284,305775137,233822655,5,4,2019,16,2.0,10.0
250133284,305775137,233822655,5,4,2019,17,2.0,10.857142857142858
250133284,305775137,233822655,5,4,2019,18,2.0,18.0
250133284,305775137,233822655,5,4,2019,19,2.0,8.5
250133284,305775137,233822655,5,4,2019,20,2.0,16.5
250133284,305775137,233822655,5,4,2019,21,2.0,21.0
250133284,305775137,233822655,5,4,2019,22,2.0,15.166666666666666
250133284,305775137,233822655,5,4,2019,23,2.0,16.142857142857142
250133284,305775137,233822655,6,4,2019,0,0.0,6.0
250133284,305775137,233822655,6,4,2019,1,1.0,24.0
250133284,305775137,233822655,6,4,2019,3,1.0,13.0
250133284,305775137,233822655,6,4,2019,4,1.0,29.333333333333332
250133284,305775137,233822655,6,4,2019,7,1.0,15.0
250133284,305775137,233822655,6,4,2019,8,1.0,13.0
250133284,305775137,233822655,6,4,2019,10,1.0,17.0
250133284,305775137,233822655,6,4,2019,11,1.0,20.5
250133284,305775137,233822655,6,4,2019,12,1.0,18.0
250133284,305775137,233822655,6,4,2019,13,1.0,8.0
250133284,305775137,233822655,6,4,2019,15,1.0,19.0
250133284,305775137,233822655,6,4,2019,16,2.0,11.0
250133284,305775137,233822655,6,4,2019,17,2.0,14.545454545454545
250133284,305775137,233822655,6,4,2019,18,2.0,19.0
250133284,305775137,233822655,6,4,2019,20,2.0,15.0
250133284,305775137,233822655,6,4,2019,21,2.0,11.5
250133284,305775137,233822655,6,4,2019,22,2.0,10.25
250133284,305775137,233822655,7,4,2019,1,1.0,7.666666666666667
250133284,305775137,233822655,7,4,2019,3,1.0,8.5
250133284,305775137,233822655,7,4,2019,4,1.0,10.333333333333334
250133284,305775137,233822655,7,4,2019,9,1.0,23.25
250133284,305775137,233822655,7,4,2019,10,1.0,15.6
250133284,305775137,233822655,7,4,2019,11,1.0,22.5
250133284,305775137,233822655,7,4,2019,12,1.0,19.75
250133284,305775137,233822655,7,4,2019,13,1.0,11.75
250133284,305775137,233822655,7,4,2019,14,1.0,20.0
250133284,305775137,233822655,7,4,2019,15,1.0,21.0
250133284,305775137,233822655,7,4,2019,17,2.0,17.333333333333332
250133284,305775137,233822655,7,4,2019,18,2.0,16.0
250133284,305775137,233822655,7,4,2019,19,2.0,11.75
250133284,305775137,233822655,7,4,2019,20,2.0,13.0
250133284,305775137,233822655,7,4,2019,21,2.0,18.0
250133284,305775137,233822655,7,4,2019,22,2.0,14.0
250133284,305775137,233822655,7,4,2019,23,2.0,22.0
250133284,305775137,233822655,8,4,2019,0,0.0,16.0
250133284,305775137,233822655,8,4,2019,1,1.0,21.25
250133284,305775137,233822655,8,4,2019,2,1.0,12.0
250133284,305775137,233822655,8,4,2019,3,1.0,12.0
250133284,305775137,233822655,8,4,2019,5,1.0,17.75
250133284,305775137,233822655,8,4,2019,8,1.0,8.666666666666666
250133284,305775137,233822655,8,4,2019,9,1.0,15.0
250133284,305775137,233822655,8,4,2019,10,1.0,16.0
250133284,305775137,233822655,8,4,2019,11,1.0,18.5
250133284,305775137,233822655,8,4,2019,12,1.0,14.571428571428571
250133284,305775137,233822655,8,4,2019,13,1.0,21.8
250133284,305775137,233822655,8,4,2019,14,1.0,8.6
250133284,305775137,233822655,8,4,2019,15,1.0,11.375
250133284,305775137,233822655,8,4,2019,16,2.0,11.833333333333334
250133284,305775137,233822655,8,4,2019,17,2.0,14.25
250133284,305775137,233822655,8,4,2019,18,2.0,15.5
250133284,305775137,233822655,8,4,2019,19,2.0,15.666666666666666
250133284,305775137,233822655,8,4,2019,20,2.0,15.0
250133284,305775137,233822655,8,4,2019,21,2.0,12.333333333333334
250133284,305775137,233822655,8,4,2019,22,2.0,10.0
250133284,305775137,233822655,9,4,2019,0,0.0,11.0
250133284,305775137,233822655,9,4,2019,3,1.0,25.0
250133284,305775137,233822655,9,4,2019,5,1.0,15.666666666666666
250133284,305775137,233822655,9,4,2019,7,1.0,14.0
250133284,305775137,233822655,9,4,2019,8,1.0,12.0
250133284,305775137,233822655,9,4,2019,9,1.0,16.5
250133284,305775137,233822655,9,4,2019,10,1.0,9.5
250133284,305775137,233822655,9,4,2019,11,1.0,25.333333333333332
250133284,305775137,233822655,9,4,2019,12,1.0,16.714285714285715
250133284,305775137,233822655,9,4,2019,13,1.0,15.0
250133284,305775137,233822655,9,4,2019,14,1.0,32.0
250133284,305775137,233822655,9,4,2019,15,1.0,18.5
250133284,305775137,233822655,9,4,2019,16,2.0,10.25
250133284,305775137,233822655,9,4,2019,18,2.0,7.0
250133284,305775137,233822655,9,4,2019,19,2.0,10.0
250133284,305775137,233822655,9,4,2019,20,2.0,0.0
250133284,305775137,233822655,9,4,2019,21,2.0,20.5
250133284,305775137,233822655,10,4,2019,0,0.0,33.0
250133284,305775137,233822655,10,4,2019,3,1.0,24.0
250133284,305775137,233822655,10,4,2019,6,1.0,24.666666666666668
250133284,305775137,233822655,10,4,2019,8,1.0,15.5
250133284,305775137,233822655,10,4,2019,9,1.0,23.0
250133284,305775137,233822655,10,4,2019,10,1.0,12.8
250133284,305775137,233822655,10,4,2019,11,1.0,9.625
250133284,305775137,233822655,10,4,2019,12,1.0,22.333333333333332
250133284,305775137,233822655,10,4,2019,14,1.0,16.4
250133284,305775137,233822655,10,4,2019,15,1.0,16.0
250133284,305775137,233822655,10,4,2019,16,2.0,12.2
250133284,305775137,233822655,10,4,2019,17,2.0,12.5
250133284,305775137,233822655,10,4,2019,18,2.0,8.25
250133284,305775137,233822655,10,4,2019,19,2.0,15.25
250133284,305775137,233822655,10,4,2019,20,2.0,9.0
250133284,305775137,233822655,10,4,2019,21,2.0,8.272727272727273
250133284,305775137,233822655,10,4,2019,22,2.0,16.0
250133284,305775137,233822655,10,4,2019,23,2.0,12.5
250133285,253124562,23378734,2,4,2019,1,1.0,17.0
250133285,253124562,23378734,2,4,2019,6,1.0,5.0
250133285,253124562,23378734,2,4,2019,10,1.0,9.75
250133285,253124562,23378734,2,4,2019,18,2.0,14.333333333333334
250133285,253124562,23378734,2,4,2019,21,2.0,8.0
250133285,253124562,23378734,2,4,2019,23,2.0,32.0
250133285,253124562,23378734,3,4,2019,1,1.0,38.0
250133285,253124562,23378734,3,4,2019,5,1.0,5.0
250133285,253124562,23378734,3,4,2019,8,1.0,10.25
250133285,253124562,23378734,3,4,2019,17,2.0,9.0
250133285,253124562,23378734,3,4,2019,19,2.0,6.0
250133285,253124562,23378734,3,4,2019,21,2.0,6.0
250133285,253124562,23378734,4,4,2019,3,1.0,41.0
250133285,253124562,23378734,4,4,2019,10,1.0,0.0
250133285,253124562,23378734,4,4,2019,12,1.0,18.5
250133285,253124562,23378734,4,4,2019,14,1.0,19.0
250133285,253124562,23378734,4,4,2019,15,1.0,3.0285714285714285
